X1,X2,X3,X4,X5,X6,X7,X8
03856KHSV,2021-03-02T02:17:00Z,0.05,N,20,7,17,9
03856KHSV,2021-03-02T02:18:00Z,0.05,N,15,6,9,7
03856KHSV,2021-03-02T02:19:00Z,0.05,N,20,5,29,5
03856KHSV,2021-03-02T02:20:00Z,0.05,N,23,5,29,8
03856KHSV,2021-03-02T02:21:00Z,0.05,N,13,6,11,8
03856KHSV,2021-03-02T02:22:00Z,0.05,N,357,7,334,8
03856KHSV,2021-03-02T02:23:00Z,0.05,N,344,8,341,11
03856KHSV,2021-03-02T02:24:00Z,0.05,N,338,8,340,10
03856KHSV,2021-03-02T02:25:00Z,0.05,N,335,8,338,10
03856KHSV,2021-03-02T02:26:00Z,0.05,N,336,9,340,12
03856KHSV,2021-03-02T02:27:00Z,0.05,N,341,9,342,12
03856KHSV,2021-03-02T02:28:00Z,0.05,N,345,9,330,10
03856KHSV,2021-03-02T02:29:00Z,0.05,N,346,8,355,11
03856KHSV,2021-03-02T02:30:00Z,0.05,N,346,8,339,11
03856KHSV,2021-03-02T02:31:00Z,0.05,N,347,8,355,10
03856KHSV,2021-03-02T02:32:00Z,0.05,N,348,8,339,12
03856KHSV,2021-03-02T02:33:00Z,0.05,N,349,9,354,12
03856KHSV,2021-03-02T02:34:00Z,0.05,N,353,9,358,10
03856KHSV,2021-03-02T02:35:00Z,0.05,N,358,8,357,9
03856KHSV,2021-03-02T02:36:00Z,0.05,N,355,7,347,8
03856KHSV,2021-03-02T02:37:00Z,0.05,N,351,7,342,9
03856KHSV,2021-03-02T02:38:00Z,0.05,N,354,8,359,9
03856KHSV,2021-03-02T02:39:00Z,0.05,N,360,7,1,8
03856KHSV,2021-03-02T02:40:00Z,0.05,N,1,6,357,8
03856KHSV,2021-03-02T02:41:00Z,0.05,N,360,6,7,8
03856KHSV,2021-03-02T02:42:00Z,0.05,N,8,6,14,7
03856KHSV,2021-03-02T02:43:00Z,0.05,N,17,6,21,9
03856KHSV,2021-03-02T02:44:00Z,0.05,N,19,7,18,10
03856KHSV,2021-03-02T02:45:00Z,0.05,N,15,8,13,9
03856KHSV,2021-03-02T02:46:00Z,0.05,N,11,7,6,7
03856KHSV,2021-03-02T02:47:00Z,0.05,N,13,6,12,8
03856KHSV,2021-03-02T02:48:00Z,0.05,N,11,7,10,8
03856KHSV,2021-03-02T02:49:00Z,0.05,N,8,7,7,8
03856KHSV,2021-03-02T02:50:00Z,0.05,N,4,7,358,7
03856KHSV,2021-03-02T02:51:00Z,0.05,N,1,7,5,9
03856KHSV,2021-03-02T02:52:00Z,0.05,N,5,7,15,9
03856KHSV,2021-03-02T02:53:00Z,0.05,N,9,7,20,8
03856KHSV,2021-03-02T02:54:00Z,0.05,N,12,7,9,8
03856KHSV,2021-03-02T02:55:00Z,0.05,N,15,7,11,8
03856KHSV,2021-03-02T02:56:00Z,0.05,N,18,6,9,8
03856KHSV,2021-03-02T02:57:00Z,0.05,N,21,6,18,8
03856KHSV,2021-03-02T02:58:00Z,0.05,N,22,8,20,11
03856KHSV,2021-03-02T02:59:00Z,0.05,N,19,9,20,10
03856KHSV,2021-03-02T03:00:00Z,0.05,N,17,9,15,11
03856KHSV,2021-03-02T03:01:00Z,0.05,N,21,9,25,9
03856KHSV,2021-03-02T03:02:00Z,0.05,N,23,8,23,9
03856KHSV,2021-03-02T03:03:00Z,0.05,N,21,8,22,9
03856KHSV,2021-03-02T03:04:00Z,0.05,N,15,7,14,8
03856KHSV,2021-03-02T03:05:00Z,0.05,N,15,7,27,8
03856KHSV,2021-03-02T03:06:00Z,0.05,N,20,7,19,8
03856KHSV,2021-03-02T03:07:00Z,0.05,N,20,7,23,9
03856KHSV,2021-03-02T03:08:00Z,0.05,N,21,8,18,10
03856KHSV,2021-03-02T03:09:00Z,0.05,N,26,9,26,11
03856KHSV,2021-03-02T03:10:00Z,0.05,N,23,9,31,11
03856KHSV,2021-03-02T03:11:00Z,0.05,N,15,9,15,10
03856KHSV,2021-03-02T03:12:00Z,0.05,N,15,7,13,7
03856KHSV,2021-03-02T03:13:00Z,0.05,N,19,6,22,9
03856KHSV,2021-03-02T03:14:00Z,0.05,N,18,8,16,11
03856KHSV,2021-03-02T03:15:00Z,0.05,N,11,9,11,12
03856KHSV,2021-03-02T03:16:00Z,0.05,N,13,9,19,12
03856KHSV,2021-03-02T03:17:00Z,0.05,N,16,8,6,8
03856KHSV,2021-03-02T03:18:00Z,0.05,N,12,7,354,8
03856KHSV,2021-03-02T03:19:00Z,0.05,N,10,7,13,8
03856KHSV,2021-03-02T03:20:00Z,0.05,N,11,7,0,9
03856KHSV,2021-03-02T03:21:00Z,0.05,N,13,8,10,11
03856KHSV,2021-03-02T03:22:00Z,0.05,N,7,8,10,10
03856KHSV,2021-03-02T03:23:00Z,0.05,N,2,8,13,9
03856KHSV,2021-03-02T03:24:00Z,0.05,N,12,8,26,9
03856KHSV,2021-03-02T03:25:00Z,0.05,N,19,7,21,9
03856KHSV,2021-03-02T03:26:00Z,0.05,N,12,7,4,9
03856KHSV,2021-03-02T03:27:00Z,0.05,N,360,7,359,7
03856KHSV,2021-03-02T03:28:00Z,0.05,N,355,7,6,8
03856KHSV,2021-03-02T03:29:00Z,0.05,N,359,6,352,7
03856KHSV,2021-03-02T03:30:00Z,0.05,N,358,6,355,8
03856KHSV,2021-03-02T03:31:00Z,0.05,N,354,7,355,9
03856KHSV,2021-03-02T03:32:00Z,0.05,N,352,8,348,10
03856KHSV,2021-03-02T03:33:00Z,0.05,N,350,8,352,10
03856KHSV,2021-03-02T03:34:00Z,0.05,N,349,7,354,8
03856KHSV,2021-03-02T03:35:00Z,0.05,N,350,8,339,9
03856KHSV,2021-03-02T03:36:00Z,0.05,N,351,8,351,9
03856KHSV,2021-03-02T03:37:00Z,0.05,N,353,8,0,9
03856KHSV,2021-03-02T03:38:00Z,0.05,N,1,7,358,8
03856KHSV,2021-03-02T03:39:00Z,0.05,N,6,6,351,6
03856KHSV,2021-03-02T03:40:00Z,0.05,N,1,6,1,8
03856KHSV,2021-03-02T03:41:00Z,0.05,N,350,8,337,10
03856KHSV,2021-03-02T03:42:00Z,0.05,N,342,8,338,11
03856KHSV,2021-03-02T03:43:00Z,0.05,N,347,7,341,8
03856KHSV,2021-03-02T03:44:00Z,0.05,N,349,5,345,6
03856KHSV,2021-03-02T03:45:00Z,0.05,N,351,5,10,6
03856KHSV,2021-03-02T03:46:00Z,0.05,N,356,4,348,5
03856KHSV,2021-03-02T03:47:00Z,0.05,N,4,3,13,5
03856KHSV,2021-03-02T03:48:00Z,0.05,N,10,4,12,7
03856KHSV,2021-03-02T03:49:00Z,0.05,N,4,6,4,6
03856KHSV,2021-03-02T03:50:00Z,0.05,N,360,6,356,7
03856KHSV,2021-03-02T03:51:00Z,0.05,N,354,6,343,7
03856KHSV,2021-03-02T03:52:00Z,0.05,N,351,5,349,6
03856KHSV,2021-03-02T03:53:00Z,0.05,N,356,5,357,5
03856KHSV,2021-03-02T03:54:00Z,0.05,N,5,4,11,6
03856KHSV,2021-03-02T03:55:00Z,0.05,N,6,5,10,6
03856KHSV,2021-03-02T03:56:00Z,0.05,N,360,5,351,8
03856KHSV,2021-03-02T03:57:00Z,0.05,N,354,6,343,8
03856KHSV,2021-03-02T03:58:00Z,0.05,N,345,6,346,6
03856KHSV,2021-03-02T03:59:00Z,0.05,N,339,5,339,7
03856KHSV,2021-03-02T04:00:00Z,0.05,N,345,5,340,6
03856KHSV,2021-03-02T04:01:00Z,0.05,N,343,3,7,4
03856KHSV,2021-03-02T04:02:00Z,0.05,N,339,3,346,5
03856KHSV,2021-03-02T04:03:00Z,0.05,N,338,5,330,6
03856KHSV,2021-03-02T04:04:00Z,0.05,N,336,5,348,7
03856KHSV,2021-03-02T04:05:00Z,0.05,N,343,5,348,6
03856KHSV,2021-03-02T04:06:00Z,0.05,N,345,5,343,6
03856KHSV,2021-03-02T04:07:00Z,0.05,N,350,5,352,6
03856KHSV,2021-03-02T04:08:00Z,0.05,N,9,4,12,4
03856KHSV,2021-03-02T04:09:00Z,0.05,N,20,4,9,5
03856KHSV,2021-03-02T04:10:00Z,0.05,N,7,5,353,6
03856KHSV,2021-03-02T04:11:00Z,0.05,N,347,5,345,7
03856KHSV,2021-03-02T04:12:00Z,0.05,N,343,5,346,6
03856KHSV,2021-03-02T04:13:00Z,0.051,N,348,5,349,6
03856KHSV,2021-03-02T04:14:00Z,0.051,N,352,5,358,6
03856KHSV,2021-03-02T04:15:00Z,0.051,N,350,4,343,5
03856KHSV,2021-03-02T04:16:00Z,0.05,N,348,4,345,5
03856KHSV,2021-03-02T04:17:00Z,0.05,N,345,5,347,6
03856KHSV,2021-03-02T04:18:00Z,0.052,N,337,5,331,7
03856KHSV,2021-03-02T04:19:00Z,0.052,N,332,5,328,6
03856KHSV,2021-03-02T04:20:00Z,0.052,N,340,4,333,4
03856KHSV,2021-03-02T04:21:00Z,0.052,N,8,2,25,2
03856KHSV,2021-03-02T04:22:00Z,0.051,N,18,2,341,4
03856KHSV,2021-03-02T04:23:00Z,0.052,N,353,3,343,4
03856KHSV,2021-03-02T04:24:00Z,0.052,N,335,4,338,5
03856KHSV,2021-03-03T06:24:00Z,0.075,N,312,4,318,4
03856KHSV,2021-03-03T06:25:00Z,0.076,N,313,4,310,5
03856KHSV,2021-03-03T06:26:00Z,0.081,N,315,4,311,4
03856KHSV,2021-03-03T06:27:00Z,0.081,N,318,4,321,4
03856KHSV,2021-03-03T06:28:00Z,0.09,N,321,4,319,4
03856KHSV,2021-03-03T06:29:00Z,0.086,N,323,4,322,5
03856KHSV,2021-03-03T06:30:00Z,0.089,N,323,4,321,5
03856KHSV,2021-03-03T06:31:00Z,0.084,N,324,4,320,5
03856KHSV,2021-03-03T06:32:00Z,0.078,N,325,4,327,5
03856KHSV,2021-03-03T06:33:00Z,0.07,N,326,4,326,5
03856KHSV,2021-03-03T06:34:00Z,0.064,N,326,4,327,5
03856KHSV,2021-03-03T06:35:00Z,0.061,N,327,4,319,4
03856KHSV,2021-03-03T06:36:00Z,0.06,N,324,4,324,4
03856KHSV,2021-03-03T06:37:00Z,0.059,N,322,4,322,5
03856KHSV,2021-03-03T06:38:00Z,0.06,N,321,4,317,5
03856KHSV,2021-03-03T06:39:00Z,0.067,N,318,4,316,5
03856KHSV,2021-03-03T06:40:00Z,0.064,N,318,4,316,4
03856KHSV,2021-03-03T06:41:00Z,0.068,N,316,4,313,4
03856KHSV,2021-03-03T06:42:00Z,0.078,N,314,4,318,4
03856KHSV,2021-03-03T06:43:00Z,0.079,N,311,4,310,4
03856KHSV,2021-03-03T06:44:00Z,0.079,N,311,4,311,4
03856KHSV,2021-03-03T06:45:00Z,0.075,N,310,4,313,4
03856KHSV,2021-03-03T06:46:00Z,0.081,N,310,4,314,4
03856KHSV,2021-03-03T06:47:00Z,0.069,N,309,4,316,4
03856KHSV,2021-03-03T06:48:00Z,0.063,N,308,4,313,5
03856KHSV,2021-03-03T06:49:00Z,0.06,N,307,3,321,4
03856KHSV,2021-03-03T06:50:00Z,0.058,N,306,3,322,4
03856KHSV,2021-03-03T06:51:00Z,0.053,N,305,3,302,4
03856KHSV,2021-03-03T06:52:00Z,0.058,N,306,3,311,4
03856KHSV,2021-03-03T06:53:00Z,0.054,N,311,3,313,4
03856KHSV,2021-03-03T06:54:00Z,0.054,N,314,3,309,4
03856KHSV,2021-03-03T06:55:00Z,0.059,N,316,3,318,4
03856KHSV,2021-03-03T06:56:00Z,0.054,N,318,3,320,4
03856KHSV,2021-03-03T06:57:00Z,0.054,N,317,3,314,4
03856KHSV,2021-03-03T06:58:00Z,0.051,N,317,3,313,3
03856KHSV,2021-03-03T06:59:00Z,0.051,N,320,2,329,3
03856KHSV,2021-03-03T07:00:00Z,0.051,N,324,3,319,3
03856KHSV,2021-03-03T07:01:00Z,0.05,N,326,3,314,3
03856KHSV,2021-03-03T07:02:00Z,0.05,N,324,3,316,3
03856KHSV,2021-03-03T07:03:00Z,0.05,N,321,2,313,3
03856KHSV,2021-03-03T07:04:00Z,0.05,N,322,2,326,3
03856KHSV,2021-03-03T07:05:00Z,0.05,N,323,2,320,3
03856KHSV,2021-03-03T07:06:00Z,0.05,N,320,2,318,3
03856KHSV,2021-03-03T07:07:00Z,0.05,N,318,2,317,2
03856KHSV,2021-03-03T07:08:00Z,0.05,N,312,2,304,2
03856KHSV,2021-03-03T07:09:00Z,0.05,N,302,2,293,2
03856KHSV,2021-03-03T07:10:00Z,0.05,N,289,2,284,2
03856KHSV,2021-03-03T07:11:00Z,0.05,N,284,2,287,2
03856KHSV,2021-03-03T07:12:00Z,0.05,N,287,2,281,2
03856KHSV,2021-03-03T07:13:00Z,0.05,N,290,2,286,2
03856KHSV,2021-03-03T07:14:00Z,0.05,N,290,2,288,3
03856KHSV,2021-03-03T07:15:00Z,0.05,N,287,2,287,3
03856KHSV,2021-03-03T07:16:00Z,0.05,N,281,2,285,2
03856KHSV,2021-03-03T07:17:00Z,0.05,N,277,2,275,2
03856KHSV,2021-03-03T07:18:00Z,0.05,N,272,2,275,2
03856KHSV,2021-03-03T07:19:00Z,0.05,N,263,2,259,2
03856KHSV,2021-03-03T07:20:00Z,0.05,N,261,2,263,2
03856KHSV,2021-03-03T07:21:00Z,0.05,N,264,2,266,2
03856KHSV,2021-03-03T07:22:00Z,0.05,N,263,2,263,2
03856KHSV,2021-03-03T07:23:00Z,0.05,N,262,2,263,3
03856KHSV,2021-03-03T07:24:00Z,0.051,N,262,2,259,3
03856KHSV,2021-03-03T07:25:00Z,0.052,N,260,2,252,3
03856KHSV,2021-03-03T07:26:00Z,0.052,N,254,3,252,3
03856KHSV,2021-03-03T07:27:00Z,0.053,N,249,3,244,3
03856KHSV,2021-03-03T07:28:00Z,0.05,N,241,3,238,3
03856KHSV,2021-03-03T07:29:00Z,0.05,N,232,3,228,3
03856KHSV,2021-03-03T07:30:00Z,0.05,N,227,3,223,3
03856KHSV,2021-03-03T07:31:00Z,0.051,N,222,3,216,3
03856KHSV,2021-03-03T07:32:00Z,0.05,N,214,3,206,4
03856KHSV,2021-03-03T07:33:00Z,0.05,N,207,3,208,4
03856KHSV,2021-03-03T07:34:00Z,0.05,N,204,3,202,4
03856KHSV,2021-03-03T07:35:00Z,0.05,N,202,3,207,4
03856KHSV,2021-03-03T07:36:00Z,0.05,N,201,3,206,4
03856KHSV,2021-03-03T07:37:00Z,0.05,N,200,3,201,4
03856KHSV,2021-03-03T07:38:00Z,0.05,N,199,3,192,4
03856KHSV,2021-03-03T07:39:00Z,0.05,N,197,3,199,4
03856KHSV,2021-03-03T07:40:00Z,0.05,N,195,4,192,4
03856KHSV,2021-03-03T07:41:00Z,0.05,N,191,4,191,4
03856KHSV,2021-03-03T07:42:00Z,0.05,N,186,4,185,5
03856KHSV,2021-03-03T07:43:00Z,0.05,N,181,4,175,5
03856KHSV,2021-03-03T07:44:00Z,0.05,N,178,5,176,6
03856KHSV,2021-03-03T07:45:00Z,0.051,N,176,5,177,6
03856KHSV,2021-03-03T07:46:00Z,0.057,N,176,5,176,5
03856KHSV,2021-03-03T07:47:00Z,0.069,N,177,5,177,5
03856KHSV,2021-03-03T07:48:00Z,0.068,N,178,5,180,5
03856KHSV,2021-03-03T07:49:00Z,0.064,N,178,4,179,5
03856KHSV,2021-03-03T07:50:00Z,0.059,N,178,4,179,5
03856KHSV,2021-03-03T07:51:00Z,0.057,N,179,5,179,5
03856KHSV,2021-03-03T07:52:00Z,0.055,N,181,5,183,5
03856KHSV,2021-03-03T07:53:00Z,0.054,N,183,5,181,5
03856KHSV,2021-03-03T07:54:00Z,0.052,N,185,4,183,5
03856KHSV,2021-03-03T07:55:00Z,0.052,N,187,4,185,5
03856KHSV,2021-03-03T07:56:00Z,0.052,N,185,4,190,5
03856KHSV,2021-03-03T07:57:00Z,0.052,N,183,4,183,4
03856KHSV,2021-03-03T07:58:00Z,0.052,N,180,4,183,5
03856KHSV,2021-03-03T07:59:00Z,0.054,N,179,4,179,5
03856KHSV,2021-03-03T08:00:00Z,0.054,N,178,4,179,5
03856KHSV,2021-03-03T08:01:00Z,0.054,N,178,4,178,5
03856KHSV,2021-03-03T08:02:00Z,0.056,N,177,4,178,4
03856KHSV,2021-03-03T08:03:00Z,0.056,N,176,4,177,4
03856KHSV,2021-03-03T08:04:00Z,0.056,N,176,4,177,5
03856KHSV,2021-03-03T08:05:00Z,0.058,N,174,4,176,4
03856KHSV,2021-03-03T08:06:00Z,0.059,N,173,4,175,4
03856KHSV,2021-03-03T08:07:00Z,0.06,N,172,4,172,4
03856KHSV,2021-03-03T08:08:00Z,0.06,N,172,4,172,4
03856KHSV,2021-03-03T08:09:00Z,0.059,N,173,4,174,4
03856KHSV,2021-03-03T08:10:00Z,0.058,N,173,4,174,4
03856KHSV,2021-03-03T08:11:00Z,0.057,N,173,4,174,4
03856KHSV,2021-03-03T08:12:00Z,0.058,N,172,4,175,4
03856KHSV,2021-03-03T08:13:00Z,0.057,N,169,3,172,4
03856KHSV,2021-03-03T08:14:00Z,0.058,N,167,4,164,4
03856KHSV,2021-03-03T08:15:00Z,0.058,N,163,4,162,4
03856KHSV,2021-03-03T08:16:00Z,0.057,N,160,4,159,5
03856KHSV,2021-03-03T08:17:00Z,0.056,N,157,5,156,5
03856KHSV,2021-03-03T08:18:00Z,0.057,N,156,4,155,5
03856KHSV,2021-03-03T08:19:00Z,0.057,N,157,4,157,4
03856KHSV,2021-03-03T08:20:00Z,0.057,N,158,4,157,4
03856KHSV,2021-03-03T08:21:00Z,0.059,N,158,4,165,4
03856KHSV,2021-03-03T08:22:00Z,0.059,N,158,3,160,4
03856KHSV,2021-03-03T08:23:00Z,0.059,N,158,3,159,4
03856KHSV,2021-03-03T08:24:00Z,0.057,N,159,3,158,4
03856KHSV,2021-03-03T08:25:00Z,0.056,N,160,3,161,4
03856KHSV,2021-03-03T08:26:00Z,0.055,N,160,3,157,4
03856KHSV,2021-03-03T08:27:00Z,0.055,N,160,3,163,3
03856KHSV,2021-03-03T08:28:00Z,0.054,N,161,3,160,3
03856KHSV,2021-03-03T08:29:00Z,0.053,N,160,3,160,3
03856KHSV,2021-03-03T08:30:00Z,0.054,N,159,3,156,3
03856KHSV,2021-03-03T08:31:00Z,0.054,N,158,2,158,3
03856KHSV,2021-03-03T08:32:00Z,0.054,N,158,2,162,2
03856KHSV,2021-03-03T08:33:00Z,0.055,N,159,2,159,2
03856KHSV,2021-03-03T08:34:00Z,0.056,N,179,1,190,1
03856KHSV,2021-03-03T08:35:00Z,0.056,N,227,1,266,1
03856KHSV,2021-03-03T08:36:00Z,0.056,N,264,1,286,2
03856KHSV,2021-03-03T08:37:00Z,0.058,N,280,2,296,3
03856KHSV,2021-03-03T08:38:00Z,0.059,N,291,3,298,5
03856KHSV,2021-03-03T08:39:00Z,0.066,N,298,5,304,7
03856KHSV,2021-03-03T08:40:00Z,0.066,N,302,6,302,6
03856KHSV,2021-03-03T08:41:00Z,0.063,N,300,5,300,5
03856KHSV,2021-03-03T08:42:00Z,0.062,N,295,4,295,4
03856KHSV,2021-03-03T08:43:00Z,0.061,N,295,3,289,3
03856KHSV,2021-03-03T08:44:00Z,0.06,N,296,2,295,3
03856KHSV,2021-03-03T08:45:00Z,0.059,N,289,2,299,2
03856KHSV,2021-03-03T08:46:00Z,0.056,N,284,2,284,2
03856KHSV,2021-03-03T08:47:00Z,0.055,N,291,2,299,2
03856KHSV,2021-03-03T08:48:00Z,0.055,N,300,2,305,2
03856KHSV,2021-03-03T08:49:00Z,0.056,N,304,2,297,2
03856KHSV,2021-03-03T08:50:00Z,0.057,N,300,2,292,3
03856KHSV,2021-03-03T08:51:00Z,0.057,N,297,2,293,3
03856KHSV,2021-03-03T08:52:00Z,0.057,N,304,2,304,2
03856KHSV,2021-03-03T08:53:00Z,0.057,N,316,2,314,3
03856KHSV,2021-03-03T08:54:00Z,0.058,N,322,2,302,2
03856KHSV,2021-03-03T08:55:00Z,0.057,N,321,2,305,2
03856KHSV,2021-03-03T08:56:00Z,0.053,N,318,1,312,1
03856KHSV,2021-03-03T08:57:00Z,0.052,N,317,1,315,1
03856KHSV,2021-03-03T08:58:00Z,0.054,N,316,1,342,1
03856KHSV,2021-03-03T08:59:00Z,0.058,N,325,1,346,2
03856KHSV,2021-03-03T09:00:00Z,0.061,N,333,1,333,2
03856KHSV,2021-03-03T09:01:00Z,0.059,N,329,1,333,2
03856KHSV,2021-03-03T09:02:00Z,0.057,N,323,1,308,2
03856KHSV,2021-03-03T09:03:00Z,0.053,N,321,1,318,1
03856KHSV,2021-03-03T09:04:00Z,0.055,N,318,1,311,1
03856KHSV,2021-03-03T09:05:00Z,0.057,N,315,1,312,1
03856KHSV,2021-03-03T09:06:00Z,0.057,N,312,1,304,2
03856KHSV,2021-03-03T09:07:00Z,0.058,N,306,1,294,2
03856KHSV,2021-03-03T09:08:00Z,0.058,N,299,2,296,2
03856KHSV,2021-03-03T09:09:00Z,0.06,N,296,2,300,2
03856KHSV,2021-03-03T09:10:00Z,0.06,N,298,2,300,2
03856KHSV,2021-03-03T09:11:00Z,0.058,N,299,2,295,2
03856KHSV,2021-03-03T09:12:00Z,0.058,N,304,2,315,2
03856KHSV,2021-03-03T09:13:00Z,0.055,N,315,1,321,2
03856KHSV,2021-03-03T09:14:00Z,0.054,N,324,1,328,2
03856KHSV,2021-03-03T09:15:00Z,0.055,N,329,1,326,2
03856KHSV,2021-03-03T09:16:00Z,0.056,N,330,2,333,2
03856KHSV,2021-03-03T09:17:00Z,0.058,N,330,2,328,2
03856KHSV,2021-03-03T09:18:00Z,0.059,N,329,2,327,2
03856KHSV,2021-03-03T09:19:00Z,0.062,N,328,2,331,3
03856KHSV,2021-03-03T09:20:00Z,0.058,N,330,3,333,3
03856KHSV,2021-03-03T09:21:00Z,0.058,N,333,3,337,3
03856KHSV,2021-03-03T09:22:00Z,0.057,N,336,3,341,4
03856KHSV,2021-03-03T09:23:00Z,0.058,N,338,4,337,4
03856KHSV,2021-03-03T09:24:00Z,0.055,N,336,3,335,4
03856KHSV,2021-03-03T09:25:00Z,0.059,N,333,3,333,4
03856KHSV,2021-03-03T09:26:00Z,0.063,N,327,4,324,4
03856KHSV,2021-03-03T09:27:00Z,0.08,N,323,4,323,4
03856KHSV,2021-03-03T09:28:00Z,0.091,N,320,4,320,4
03856KHSV,2021-03-03T09:29:00Z,0.081,N,318,4,318,4
03856KHSV,2021-03-03T09:30:00Z,0.069,N,320,3,322,4
03856KHSV,2021-03-03T09:31:00Z,0.066,N,323,3,324,3
03856KHSV,2021-03-03T09:32:00Z,0.065,N,325,3,325,3
03856KHSV,2021-03-03T09:33:00Z,0.064,N,325,3,321,4
03856KHSV,2021-03-03T09:34:00Z,0.067,N,321,3,316,3
03856KHSV,2021-03-03T09:35:00Z,0.074,N,317,3,317,3
03856KHSV,2021-03-03T09:36:00Z,0.079,N,309,3,302,3
03856KHSV,2021-03-03T09:37:00Z,0.072,N,302,3,303,3
03856KHSV,2021-03-03T09:38:00Z,0.068,N,302,3,304,3
03856KHSV,2021-03-03T09:39:00Z,0.065,N,303,3,302,3
03856KHSV,2021-03-03T09:40:00Z,0.073,N,303,3,301,3
03856KHSV,2021-03-03T09:41:00Z,0.093,N,303,3,306,3
03856KHSV,2021-03-03T09:42:00Z,0.099,N,303,3,305,3
03856KHSV,2021-03-03T09:43:00Z,0.094,N,303,3,300,3
03856KHSV,2021-03-03T09:44:00Z,0.087,N,301,3,301,4
03856KHSV,2021-03-03T09:45:00Z,0.105,N,302,3,303,4
03856KHSV,2021-03-03T09:46:00Z,0.101,N,304,4,305,4
03856KHSV,2021-03-03T09:47:00Z,0.104,N,308,4,311,4
03856KHSV,2021-03-03T09:48:00Z,0.109,N,310,4,312,4
03856KHSV,2021-03-03T09:49:00Z,0.114,N,309,4,305,4
03856KHSV,2021-03-03T09:50:00Z,0.11,N,308,4,307,4
03856KHSV,2021-03-03T09:51:00Z,0.104,N,307,4,310,4
03856KHSV,2021-03-03T09:52:00Z,0.096,N,305,4,304,4
03856KHSV,2021-03-03T09:53:00Z,0.092,N,301,4,298,4
03856KHSV,2021-03-03T09:54:00Z,0.092,N,297,4,297,4
03856KHSV,2021-03-03T09:55:00Z,0.091,N,295,4,292,4
03856KHSV,2021-03-03T09:56:00Z,0.088,N,294,4,293,4
03856KHSV,2021-03-03T09:57:00Z,0.087,N,294,4,296,4
03856KHSV,2021-03-03T09:58:00Z,0.087,N,294,4,296,4
03856KHSV,2021-03-03T09:59:00Z,0.09,N,294,4,294,5
03856KHSV,2021-03-03T10:00:00Z,0.093,N,293,4,292,5
03856KHSV,2021-03-03T10:01:00Z,0.099,N,291,4,291,5
03856KHSV,2021-03-03T10:02:00Z,0.106,N,290,4,294,5
03856KHSV,2021-03-03T10:03:00Z,0.117,N,291,4,287,5
03856KHSV,2021-03-03T10:04:00Z,0.129,N,290,4,292,5
03856KHSV,2021-03-03T10:05:00Z,0.134,N,292,4,290,5
03856KHSV,2021-03-03T10:06:00Z,0.141,N,293,5,294,5
03856KHSV,2021-03-03T10:07:00Z,0.139,N,293,4,292,5
03856KHSV,2021-03-03T10:08:00Z,0.145,N,292,4,291,5
03856KHSV,2021-03-03T10:09:00Z,0.146,N,290,4,286,5
03856KHSV,2021-03-03T10:10:00Z,0.142,N,289,4,288,5
03856KHSV,2021-03-03T10:11:00Z,0.142,N,289,4,292,5
03856KHSV,2021-03-03T10:12:00Z,0.146,N,289,4,289,5
03856KHSV,2021-03-03T10:13:00Z,0.146,N,289,4,284,5
03856KHSV,2021-03-03T10:14:00Z,0.144,N,290,4,292,5
03856KHSV,2021-03-03T10:15:00Z,0.148,N,292,4,294,5
03856KHSV,2021-03-03T10:16:00Z,0.146,N,295,4,298,5
03856KHSV,2021-03-03T10:17:00Z,0.144,N,296,4,298,5
03856KHSV,2021-03-03T10:18:00Z,0.134,N,297,4,294,5
03856KHSV,2021-03-03T10:19:00Z,0.126,N,298,4,302,5
03856KHSV,2021-03-03T10:20:00Z,0.127,N,299,4,298,4
03856KHSV,2021-03-03T10:21:00Z,0.137,N,300,4,297,5
03856KHSV,2021-03-03T10:22:00Z,0.139,N,300,4,303,4
03856KHSV,2021-03-03T10:23:00Z,0.132,N,299,4,293,5
03856KHSV,2021-03-03T10:24:00Z,0.121,N,298,4,303,6
03856KHSV,2021-03-03T10:25:00Z,0.109,N,298,4,302,5
03856KHSV,2021-03-03T10:26:00Z,0.112,N,299,5,302,5
03856KHSV,2021-03-03T10:27:00Z,0.109,N,301,5,302,5
03856KHSV,2021-03-03T10:28:00Z,0.1,N,301,4,301,5
03856KHSV,2021-03-03T10:29:00Z,0.094,N,300,4,293,6
03856KHSV,2021-03-03T10:30:00Z,0.091,N,298,5,300,6
03856KHSV,2021-03-03T10:31:00Z,0.089,N,300,5,314,5
03856KHSV,2021-03-03T10:32:00Z,0.089,N,299,4,292,5
03856KHSV,2021-03-03T10:33:00Z,0.09,N,297,4,301,5
03856KHSV,2021-03-03T10:34:00Z,0.092,N,297,4,300,5
03856KHSV,2021-03-03T10:35:00Z,0.09,N,296,4,298,6
03856KHSV,2021-03-03T10:36:00Z,0.088,N,298,4,295,6
03856KHSV,2021-03-03T10:37:00Z,0.084,N,297,4,296,5
03856KHSV,2021-03-03T10:38:00Z,0.084,N,300,4,305,5
03856KHSV,2021-03-03T10:39:00Z,0.086,N,299,4,301,5
03856KHSV,2021-03-03T10:40:00Z,0.084,N,299,4,306,6
03856KHSV,2021-03-03T10:41:00Z,0.084,N,302,4,300,4
03856KHSV,2021-03-03T10:42:00Z,0.084,N,304,4,307,5
03856KHSV,2021-03-03T10:43:00Z,0.086,N,306,4,302,6
