Event ID,Operation ID,User ID,Equipment Type,Airport,Operation Time,Op Type,Num Ops,Segment#,Latitude,Longitude,Altitude AFE (ft),Altitude MSL (ft),unit-x,unit-y,unit-z,Segment Length (ft),Ground Track Distance (ft),Ground Speed (kt),Delta Speed (kt),Trajectory Mode,Net Corrected Thrust Per Engine (lb),Duration ,Fuel Burn (lb),CO (lb),THC (lb),TOG (lb),VOC (lb),NMHC (lb),NOx (lb),nvPM Mass (lb),nvPM Number,PMSO (lb),PMFO (lb),CO2 (lb),H2O (lb),SOx (lb),PM 2.5 (lb),PM 10 (lb)
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,23,38.298971,-76.38925,12.1,50.1,-0.755591,-0.653719,-0.041631,192,199272,112.9,-16,Approach,-99,00:00:01.085,3.18,0,0,0,0,0,0.05,N/A,N/A,0,0,10.03,3.93,0,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,24,38.298626,-76.389756,4.1,42.1,-0.755591,-0.653719,-0.041631,162.7,199464,96.9,-16,Approach,-99,00:00:01.085,3.18,0,0,0,0,0,0.05,N/A,N/A,0,0,10.04,3.94,0,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,25,38.298334,-76.390185,-2.6,35.4,-0.755591,-0.653719,-0.041631,133.3,199626.7,80.9,-16,Approach,-99,00:00:01.085,3.19,0,0,0,0,0,0.05,N/A,N/A,0,0,10.06,3.94,0,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,26,38.298094,-76.390536,-8.2,29.8,-0.755591,-0.653719,-0.041631,240,199760,64.8,-64.8,Approach,-99,00:00:04.389,12.92,0.01,0,0,0,0,0.19,N/A,N/A,0,0,40.77,15.98,0.01,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,27,38.297663,-76.391169,-18.2,19.8,0,0,0,0,200000,0,0,Taxi In,0,00:06:06.000,163.48,15.96,10.62,12.28,12.22,12.28,0.51,N/A,N/A,0,0.07,515.77,202.22,0.13,0.07,0.07
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,0,38.298094,-76.390536,-18.2,19.8,0,0,0,0,0,0,0,Taxi Out,0,00:12:18.000,329.63,32.19,21.42,24.76,24.63,24.76,1.03,N/A,N/A,0.01,0.13,1040,407.76,0.26,0.14,0.14
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,1,38.298094,-76.390536,-18.2,19.8,-0.756247,-0.654287,0,36.6,0,0,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.56,6.79,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,156.36,61.3,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,2,38.298029,-76.390633,-18.2,19.8,-0.756247,-0.654287,0,109.7,36.6,17.8,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.54,6.79,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,156.29,61.28,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,3,38.297832,-76.390922,-18.2,19.8,-0.756247,-0.654287,0,182.9,146.3,35.6,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.5,6.79,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,156.18,61.24,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,4,38.297503,-76.391404,-18.2,19.8,-0.756247,-0.654287,0,256.1,329.2,53.3,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.45,6.78,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,156.03,61.17,0.04,0.03,0.03
