Code,Aircraft,Engine,Power,Units
M01701,C-7A,R-2000-7M2,600.0,RPM
M01701,C-7A,R-2000-7M2,1000.0,RPM
M01701,C-7A,R-2000-7M2,2675.0,RPM
M01801,C-9A,JT8D-9A,1.0,EPR
M01801,C-9A,JT8D-9A,2.0,EPR
M01801,C-9A,JT8D-9A,1.7,EPR
M01801,C-9A,JT8D-9A,1.8,EPR
M01901,C-12,PT6A-38,60.0,% RPM
M01901,C-12,PT6A-38,94.0,% RPM
M01901,C-12,PT6A-38,96.0,% RPM
M01901,C-12,PT6A-38,97.0,% RPM
M01901,C-12,PT6A-38,98.0,% RPM
M01901,C-12,PT6A-38,98.1,% RPM
M02001,C-17,F117-PW-100,92.0,% NC
M02001,C-17,F117-PW-100,77.0,% NC
M02001,C-17,F117-PW-100,95.0,% NC
M02001,C-17,F117-PW-100,86.0,% NC
M02001,C-17,F117-PW-100,94.0,% NC
M02101,C-18A,TF33-PW-102A,1.6,EPR
M02101,C-18A,TF33-PW-102A,1.0,EPR
M02101,C-18A,TF33-PW-102A,1.3,EPR
M02101,C-18A,TF33-PW-102A,1.1,EPR
M02101,C-18A,TF33-PW-102A,1.0,EPR
M02101,C-18A,TF33-PW-102A,1.8,EPR
M02201,C-20,SPEYMK511-8,500.0,LBS
M02201,C-20,SPEYMK511-8,11400.0,LBS
M02201,C-20,SPEYMK511-8,2000.0,LBS
M02301,C-21A,TFE-731-2-2B,96.0,% NC
M02301,C-21A,TFE-731-2-2B,60.0,% NC
M02301,C-21A,TFE-731-2-2B,90.0,% NC
M02301,C-21A,TFE-731-2-2B,80.0,% NC
M02301,C-21A,TFE-731-2-2B,70.0,% NC
M02401,C-22,JT8D-7B,1.0,EPR
M02401,C-22,JT8D-7B,2.0,EPR
M02401,C-22,JT8D-7B,1.7,EPR
M02401,C-22,JT8D-7B,1.8,EPR
M02501,C-23,PT6A-65AR,60.0,% RPM
M02501,C-23,PT6A-65AR,94.0,% RPM
M02501,C-23,PT6A-65AR,96.0,% RPM
M02501,C-23,PT6A-65AR,97.0,% RPM
M02501,C-23,PT6A-65AR,98.0,% RPM
M02501,C-23,PT6A-65AR,98.1,% RPM
M02601,C-118,R-2800-52W,2050.0,RPM
M02601,C-118,R-2800-52W,800.0,RPM
M02601,C-118,R-2800-52W,1000.0,RPM
M02601,C-118,R-2800-52W,2800.0,RPM
M02701,C-119L,R3350-89B,2100.0,RPM
M02701,C-119L,R3350-89B,750.0,RPM
M02701,C-119L,R3350-89B,1000.0,RPM
M02701,C-119L,R3350-89B,2900.0,RPM
M02701,C-119L,R3350-89B,1800.0,RPM
M02801,C-121,R3350-93A,2050.0,RPM
M02801,C-121,R3350-93A,700.0,RPM
M02801,C-121,R3350-93A,1200.0,RPM
M02801,C-121,R3350-93A,2900.0,RPM
M02801,C-121,R3350-93A,1700.0,RPM
M02901,C-130A&D,T56-A-9,775.0,C TIT
M02901,C-130A&D,T56-A-9,625.0,C TIT
M02901,C-130A&D,T56-A-9,560.0,C TIT
M02901,C-130A&D,T56-A-9,970.0,C TIT
M02902,C-130E,T56-A-7,775.0,C TIT
M02902,C-130E,T56-A-7,625.0,C TIT
M02902,C-130E,T56-A-7,560.0,C TIT
M02902,C-130E,T56-A-7,970.0,C TIT
M02904,C-130J,AE2100D3,775.0,MGT
M02904,C-130J,AE2100D3,625.0,MGT
M02904,C-130J,AE2100D3,560.0,MGT
M02904,C-130J,AE2100D3,970.0,MGT
M02903,C-130H&N&P,T56-A-15,775.0,C TIT
