aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
B-52H,M01403,TF33-P-3,RM0140331V,MAX PWR,8700.00,LBS/HR,1.68,EPR,104.00,% RPM,VARIABLE,STATIC
B-52H,M01403,TF33-P-3,RM0140334V,NORMAL RATED THRUST,7600.00,LBS/HR,1.62,EPR,100.00,% RPM,VARIABLE,STATIC
B-57E&G,M01501,J65-W-5/J65-W-5D,RM0150104V,MIL PWR,101.00,% RPM,"","","","",VARIABLE,STATIC
B-57E&G,M01501,J65-W-5/J65-W-5D,RM0150113V,IDLE,50.00,% RPM,"","","","",VARIABLE,STATIC
B-57E&G,M01501,J65-W-5/J65-W-5D,RM0150118V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
C-5A,M01601,TF39-GE-1A,RM0160112V,HIGH IDLE,1.60,EPR,42.00,% NF,77.50,% NC,VARIABLE,STATIC
C-5A,M01601,TF39-GE-1A,RM0160113V,IDLE,1.18,EPR,23.00,% NF,64.00,% NC,VARIABLE,STATIC
C-5A,M01601,TF39-GE-1A,RM0160119V,80 % RPM ENG RUNUP,3.50,EPR,79.00,% NF,91.00,% NC,VARIABLE,STATIC
C-5A,M01601,TF39-GE-1A,RM0160122V,65 % RPM ENG RUNUP,2.50,EPR,63.00,% NF,85.00,% NC,VARIABLE,STATIC
C-5A,M01601,TF39-GE-1A,RM0160131V,MAX PWR,4.40,EPR,90.00,% NF,96.00,% NC,VARIABLE,STATIC
C-5MX,M01602,CF6-80C2L1F,RM0160231F,TAKEOFF POWER,102.0,% N1,"","","","",FIXED,STATIC
C-7A,M01701,R-2000-7M2,RM0170109V,POWER RUNUP,2450.00,RPM,35.00,IN HG,"","",VARIABLE,STATIC
C-7A,M01701,R-2000-7M2,RM0170113V,IDLE,600.00,RPM,19.00,IN HG,"","",VARIABLE,STATIC
C-7A,M01701,R-2000-7M2,RM0170115V,TAXI,1000.00,RPM,20.00,IN HG,"","",VARIABLE,STATIC
C-7A,M01701,R-2000-7M2,RM0170131V,MAX PWR,2675.00,RPM,50.00,IN HG,"","",VARIABLE,STATIC
C-9A,M01801,JT8D-9A,RM0180113V,IDLE,1.05,EPR,375.00,C EGT,1000.00,LBS/HR,VARIABLE,STATIC
C-9A,M01801,JT8D-9A,RM0180130V,TAKEOFF PWR,2.00,EPR,510.00,C EGT,8000.00,LBS/HR,VARIABLE,STATIC
C-9A,M01801,JT8D-9A,RM0180132V,1.7 EPR,1.70,EPR,460.00,C EGT,5800.00,LBS/HR,VARIABLE,STATIC
C-9A,M01801,JT8D-9A,RM0180133V,1.8 EPR,1.80,EPR,480.00,C EGT,6600.00,LBS/HR,VARIABLE,STATIC
C-12,M01901,PT6A-38,RM0190113V,IDLE,60.00,% RPM,"","","","",VARIABLE,STATIC
C-12,M01901,PT6A-38,RM0190170V,70 % TORQUE,94.00,% RPM,"","","","",VARIABLE,STATIC
C-12,M01901,PT6A-38,RM0190171V,80 % TORQUE,96.00,% RPM,"","","","",VARIABLE,STATIC
C-12,M01901,PT6A-38,RM0190172V,90 % TORQUE,97.00,% RPM,"","","","",VARIABLE,STATIC
C-12,M01901,PT6A-38,RM0190173V,95 % TORQUE,98.00,% RPM,"","","","",VARIABLE,STATIC
